date,new_people_vaccinated_smoothed
2023-01-01,1087
2023-01-02,1177
2023-01-03,1486
2023-01-04,1180
2023-01-05,887
2023-01-06,792
2023-01-07,775
2023-01-08,690
2023-01-09,840
2023-01-10,429
2023-01-11,309
2023-01-12,316
2023-01-13,342
2023-01-14,345
2023-01-15,344
2023-01-16,313
2023-01-17,300
2023-01-18,390
2023-01-19,652
2023-01-20,640
2023-01-21,640
2023-01-22,640
2023-01-23,440
2023-01-24,690
2023-01-25,647
2023-01-26,436
2023-01-27,567
2023-01-28,580
2023-01-29,589
2023-01-30,599
2023-01-31,353
2023-02-01,306
2023-02-02,271
2023-02-03,138
2023-02-04,127
2023-02-05,118
2023-02-06,118
2023-02-07,105
2023-02-08,109
2023-02-09,110
2023-02-10,111
2023-02-11,117
2023-02-12,126
2023-02-13,132
2023-02-14,137
2023-02-15,134
2023-02-16,118
2023-02-17,119
2023-02-18,110
2023-02-19,101
2023-02-20,85
2023-02-21,72
2023-02-22,66
2023-02-23,84
2023-02-24,79
2023-02-25,84
2023-02-26,84
2023-02-27,84
2023-02-28,90
2023-03-01,90
2023-03-02,71
2023-03-03,74
2023-03-04,70
2023-03-05,72
2023-03-06,69
2023-03-07,59
2023-03-08,57
2023-03-09,52
2023-03-10,52
2023-03-11,52
2023-03-12,51
2023-03-13,50
2023-03-14,61
2023-03-15,71
2023-03-16,76
2023-03-17,72
2023-03-18,71
2023-03-19,71
2023-03-20,84
2023-03-21,84
2023-03-22,141
2023-03-23,160
2023-03-24,191
2023-03-25,212
2023-03-26,213
2023-03-27,214
2023-03-28,209
2023-03-29,153
2023-03-30,138
2023-03-31,111
2023-04-01,95
2023-04-02,96
2023-04-03,86
2023-04-04,83
2023-04-05,71
2023-04-06,64
2023-04-07,54
2023-04-08,50
2023-04-09,46
2023-04-10,37
2023-04-11,35
2023-04-12,52
2023-04-13,50
2023-04-14,57
2023-04-15,55
2023-04-16,55
2023-04-17,67
2023-04-18,67
2023-04-19,47
2023-04-20,46
2023-04-21,47
2023-04-22,48
2023-04-23,48
2023-04-24,44
2023-04-25,44
2023-04-26,52
2023-04-27,65
2023-04-28,69
2023-04-29,69
2023-04-30,76
2023-05-01,70
2023-05-02,66
2023-05-03,55
2023-05-04,39
2023-05-05,27
2023-05-06,25
2023-05-07,18
2023-05-08,21
2023-05-09,20
2023-05-10,22
2023-05-11,32
2023-05-12,32
2023-05-13,37
2023-05-14,52
2023-05-15,49
2023-05-16,52
2023-05-17,49
2023-05-18,41
2023-05-19,38
2023-05-20,31
2023-05-21,16
2023-05-22,15
2023-05-23,13
2023-05-24,12
2023-05-25,11
2023-05-26,13
2023-05-27,14
2023-05-28,14
2023-05-29,15
2023-05-30,15
2023-05-31,15
2023-06-01,14
2023-06-02,12
2023-06-03,11
2023-06-04,11
2023-06-05,11
2023-06-06,10
2023-06-07,9
2023-06-08,8
2023-06-09,7
2023-06-10,7
2023-06-11,7
2023-06-12,7
2023-06-13,7
2023-06-14,6
2023-06-15,9
2023-06-16,8
2023-06-17,9
2023-06-18,9
2023-06-19,9
2023-06-20,9
2023-06-21,10
2023-06-22,13
2023-06-23,14
2023-06-24,14
2023-06-25,NULL
